"PRO_NAME","JFEE"
"江西              ","-167.47"
"云南              ","-105.12"
"四川              ","-67.97"
"广西              ","-59.81"
"福建              ","-42.48"
"甘肃              ","-30.09"
"浙江              ","-14.53"
"西藏              ","-7.48"
"宁夏              ","26.74"
"海南              ","77.72"
"贵州              ","83.28"
"青海              ","85.52"
"江苏              ","129.47"
"黑龙江            ","141.72"
"安徽              ","145.4"
"陕西              ","194.14"
"上海              ","282.74"
"重庆              ","362.76"
"广东              ","376.67"
"吉林              ","403.39"
"内蒙古            ","541.62"
"新疆              ","582.25"
"天津              ","600.4"
"湖北              ","621.38"
"山西              ","624.85"
"湖南              ","632.2"
"辽宁              ","828.35"
"河北              ","1032.26"
"北京              ","1205.54"
"河南              ","1591.1"
"山东              ","2400.85"
